Backend,Mode,Shards,Payload,OfferedRate,Completed,Backlog,MidpointBacklog,Seconds,InjectedLatencyMS,Throughput,AckP50US,AckP95US,AckP99US,CoordinationOpsPerRecord,CPUSeconds,AllocBytesPerRecord,AllocsPerRecord,HeapBytes
memory,async,1,1024,1157,5783,2,2,5,0,1156.6,1.708,5.209,12,1.010894,0.455339,3626.281169,42.795089,2636544
memory,async,1,1024,2314,11564,6,6,5,0,2312.8,1.291,4.209,9.833,1.010204,0.514028,2917.686614,29.43203,2781896
memory,async,1,1024,5785,28919,6,1,5,0,5783.8,1.042,3.583,12.083,1.009682,0.725234,2474.42996,21.007123,2615680
memory,async,1,16384,1157,5782,3,2,5,0,1156.4,1.75,5.458,10.708,1.010896,0.552222,18986.062954,42.648392,2278432
memory,async,1,16384,2314,11564,6,6,5,0,2312.8,1.292,4.292,10.208,1.010204,0.714361,18276.267036,29.284763,2600392
memory,async,1,16384,5785,28912,13,14,5,0,5782.4,1.042,3.708,10.667,1.00965,1.259013,17836.154123,20.839133,2400824
memory,async,4,1024,1157,5782,3,2,5,0,1156.4,2.5,6.916,25,1.012452,0.948349,9410.302318,137.708578,2310040
memory,async,4,1024,1157,4324,1461,728,5,1,864.8,1154.209,1209.584,1281.875,1.016883,0.848346,13190.247919,192.631822,3923984
memory,async,4,1024,2314,11565,5,7,5,0,2313,1.917,5.792,26.958,1.011414,1.071755,5811.034674,79.087592,2124848
memory,async,4,1024,2314,4315,7255,3619,5,1,863,1155.208,1199.459,1256.875,1.016918,0.710137,10660.368019,138.356663,12610744
memory,async,4,1024,5785,28915,10,13,5,0,5783,1.5,4.375,24.25,1.01079,1.254493,3325.416704,37.505516,3533008
memory,async,4,1024,5785,4327,24598,12297,5,1,865.4,1155.208,1182.75,1220.25,1.016871,0.467943,6502.678068,67.30691,13271728
memory,async,4,16384,1157,5783,2,1,5,0,1156.6,2.458,7.875,24.041,1.01245,1.029108,24755.231541,137.395124,3317440
memory,async,4,16384,2314,11565,5,7,5,0,2313,1.792,5.75,26.417,1.011068,1.28063,21161.696152,78.796887,3570352
memory,async,4,16384,5785,28920,5,8,5,0,5784,1.459,5.416,29.667,1.010788,1.894433,18680.115629,37.383402,3228456
memory,automatic,1,1024,1157,5784,1,0,5,0,1156.8,0,0,0,0.010201,0.223025,2421.969571,25.877766,1574712
memory,automatic,1,1024,2314,11570,0,1,5,0,2314,0,0,0,0.010026,0.244287,2078.701469,17.99516,2240232
memory,automatic,1,1024,5785,28921,4,1,5,0,5784.2,0,0,0,0.009785,0.30798,1823.148301,12.813284,998920
memory,automatic,1,16384,1157,5784,1,0,5,0,1156.8,0,0,0,0.010201,0.270231,17778.073306,25.795124,638984
memory,automatic,1,16384,2314,11569,1,3,5,0,2313.8,0,0,0,0.010027,0.357164,17436.171147,17.963955,2451760
memory,automatic,1,16384,5785,28924,1,2,5,0,5784.8,0,0,0,0.009646,0.611522,17181.540313,12.744918,1523640
memory,automatic,4,1024,1157,5785,0,1,5,0,1157,0,0,0,0.999136,0.462694,6567.879689,104.312532,923280
memory,automatic,4,1024,1157,5784,1,0,5,1,1156.8,0,0,0,0.996542,0.429727,5959.450899,90.789592,2409808
memory,automatic,4,1024,2314,11567,3,1,5,0,2313.4,0,0,0,0.375119,0.455645,3860.408403,53.366214,1440336
memory,automatic,4,1024,2314,11570,0,3,5,1,2314,0,0,0,0.505272,0.460263,3778.892999,50.633708,1979312
memory,automatic,4,1024,5785,28924,1,6,5,0,5784.8,0,0,0,0.010095,0.478966,2262.976075,22.689324,1522120
memory,automatic,4,1024,5785,28924,1,1,5,1,5784.8,0,0,0,0.010095,0.482372,2325.686904,23.979256,3159832
memory,automatic,4,16384,1157,5784,1,1,5,0,1156.8,0,0,0,1.000173,0.531449,21932.771784,104.406812,1701240
memory,automatic,4,16384,2314,11569,1,2,5,0,2313.8,0,0,0,0.374881,0.603717,19219.288098,53.340479,3197872
memory,automatic,4,16384,5785,28920,5,6,5,0,5784,0,0,0,0.010131,0.836616,17623.73361,22.691355,2843880
memory,batch,1,1024,1157,5785,0,0,5,0,1157,4.708,11.459,18.375,1.01089,0.472097,3414.644771,38.849438,2842104
memory,batch,1,1024,2314,11569,1,3,5,0,2313.8,1.292,8.041,14.084,1.0102,0.48956,2610.68649,23.490103,2198080
memory,batch,1,1024,5785,28925,0,0,5,0,5785,1.042,6.666,11.75,1.009957,0.564165,2111.242731,13.794849,2559264
memory,batch,1,16384,1157,5784,1,0,5,0,1156.8,4.667,11.958,18.5,1.010892,0.490865,18768.84509,38.725968,1723920
memory,batch,1,16384,2314,11568,2,2,5,0,2313.6,1.25,9.542,16.5,1.010201,0.566581,17967.039419,23.418828,1167072
memory,batch,1,16384,5785,28923,2,3,5,0,5784.6,1.042,8.042,14.458,1.009785,0.958125,17470.914912,13.719427,2606544
memory,batch,4,1024,1157,5784,1,1,5,0,1156.8,2.584,14.667,36.542,1.012448,0.845997,9133.994467,133.134855,1531464
memory,batch,4,1024,1157,5782,3,1,5,1,1156.4,1138.458,1188.167,1222.458,1.012625,0.814042,9615.738499,141.063127,935960
memory,batch,4,1024,2314,11569,1,2,5,0,2313.8,2.292,15,39.042,1.01141,0.951632,5567.247645,75.151958,3151880
memory,batch,4,1024,2314,11566,4,3,5,1,2313.2,1144.875,1199,1249.083,1.011672,0.884961,5956.794743,81.418814,2596288
memory,batch,4,1024,5785,28924,1,5,5,0,5784.8,1.625,17.208,41.542,1.010787,1.005911,3068.367031,32.632174,2773152
memory,batch,4,1024,5785,17468,11457,5735,5,1,3493.6,1144.083,1180.833,1213.334,1.011221,0.439681,2110.024273,10.864839,2986376
memory,batch,4,16384,1157,5784,1,1,5,0,1156.8,2.583,13.416,35.041,1.012448,0.931137,24482.640387,132.974931,1098400
memory,batch,4,16384,2314,11569,1,3,5,0,2313.8,2.291,14.625,38.708,1.011323,1.120557,20939.952632,75.360273,1809496
memory,batch,4,16384,5785,28922,3,4,5,0,5784.4,1.75,16.541,46.708,1.010788,1.525715,18440.283798,32.861247,1647304
memory,sync,1,1024,1157,5784,1,1,5,0,1156.8,5.834,14.875,27.042,1.010892,0.490775,3551.258645,41.468188,2733224
memory,sync,1,1024,2314,11569,1,2,5,0,2313.8,5.375,12.208,26.291,1.010545,0.607255,2888.520702,28.828853,1202232
memory,sync,1,1024,5785,28919,6,2,5,0,5783.8,4.042,9.25,21.625,1.010166,0.899137,2456.604447,20.775753,1868760
memory,sync,1,16384,1157,5784,1,1,5,0,1156.8,7.209,17.291,29.792,1.010892,0.567926,18899.477178,41.256224,1863656
memory,sync,1,16384,2314,11569,1,2,5,0,2313.8,5.666,13.5,28.416,1.010632,0.739163,18243.613104,28.731697,3686696
memory,sync,1,16384,5785,28920,5,5,5,0,5784,4.791,12.291,31.125,1.010131,1.282211,17816.808852,20.687379,2769728
